Weekday;Period;Room;Teacher;Class
Monday;0;Room1;ElAarag;Senior P2
Monday;0;Room3;Eckroth;Web App
Monday;0;Room4;Plante;Senior P2
Monday;0;Lab1;Koc;Soft Dev1
Monday;0;Lab2;TBA;Intro to Comp2
Monday;1;Room1;TBA;Soft Dev1
Monday;1;Room2;Plante;Database Systems
Monday;1;Room4;Eckroth;Web App
Monday;1;Lab1;ElAarag;Senior P2
Monday;1;Lab2;Koc;Web App
Monday;2;Room2;TBA;Database Systems
Monday;2;Room3;Plante;Web App
Monday;2;Room5;Koc;Big Data
Monday;2;empty;Eckroth;Database Systems
Monday;2;Lab2;ElAarag;Big Data
Monday;3;Room1;Plante;Intro to Computing
Monday;3;Room3;ElAarag;Database Systems
Monday;3;Room4;TBA;Web App
Monday;3;Room5;Eckroth;Senior P2
Monday;3;Lab1;Koc;Intro to Comp2
Monday;4;Room1;TBA;Intro to Computing
Monday;4;Room2;Eckroth;Web App
Monday;4;Room3;Plante;Big Data
Monday;4;Room4;Koc;Intro to Computing
Monday;4;empty;ElAarag;Intro to Comp2
Wednesday;0;Room1;ElAarag;Intro to Computing
Wednesday;0;Room2;Eckroth;Big Data
Wednesday;0;Room4;TBA;Web App
Wednesday;0;Room5;Plante;Big Data
Wednesday;0;Lab1;Koc;Senior P2
Wednesday;1;Room1;ElAarag;Web App
Wednesday;1;Room2;Plante;Database Systems
Wednesday;1;Room3;Eckroth;Web App
Wednesday;1;Room5;Koc;Web App
Wednesday;1;Lab1;TBA;Database Systems
Wednesday;2;Room1;Plante;Database Systems
Wednesday;2;Room3;ElAarag;Database Systems
Wednesday;2;empty;Eckroth;Senior P1
Wednesday;2;Lab1;Koc;Database Systems
Wednesday;2;Lab2;TBA;Soft Dev1
Wednesday;3;Room1;Plante;Senior P1
Wednesday;3;Room2;ElAarag;Big Data
Wednesday;3;Room3;Koc;Web App
Wednesday;3;Room4;Eckroth;Web App
Wednesday;3;Lab1;TBA;Computer Graphics
Wednesday;4;Room1;Eckroth;Web App
Wednesday;4;Room3;TBA;Database Systems
Wednesday;4;Room4;Koc;Database Systems
Wednesday;4;empty;ElAarag;Big Data
Wednesday;4;Lab1;Plante;Database Systems
Friday;0;Room1;ElAarag;Big Data
Friday;0;Room2;Koc;Senior P1
Friday;0;Room3;Eckroth;Web App
Friday;0;Room5;TBA;Web App
Friday;0;empty;Plante;Big Data
Friday;1;Room1;Eckroth;Database Systems
Friday;1;Room2;ElAarag;Senior P1
Friday;1;Room4;TBA;Senior P2
Friday;1;Room5;Plante;Web App
Friday;1;Lab2;Koc;Senior P1
Friday;2;Room1;Plante;Web App
Friday;2;Room3;Koc;Senior P1
Friday;2;Room4;ElAarag;Intro to Comp2
Friday;2;Room5;Eckroth;Database Systems
Friday;2;Lab1;TBA;Big Data
Friday;3;Room1;Eckroth;Web App
Friday;3;Room2;Koc;Database Systems
Friday;3;Room3;ElAarag;Senior P1
Friday;3;Room5;TBA;Intro to Computing
Friday;3;Lab1;Plante;Web App
Friday;4;Room4;Plante;Database Systems
Friday;4;Room5;ElAarag;Database Systems
Friday;4;empty;Koc;Web App
Friday;4;Lab1;TBA;Database Systems
Friday;4;Lab2;Eckroth;Big Data
